id,type,title,milestone,labels,blocked_by,effort,panels,spec,acceptance,description
EPIC-0,epic,Stage 0 — Workbench,Stage 0 — Workbench,"epic,stage/0",,,,,,"Produces no platform behavior and therefore measures nothing. It stands before step 1 from E-11, because otherwise the measurement from step 1 has nowhere to go.

**Closing condition of this stage:** The acceptance registry runs and reports 0 green / all red.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-1,epic,Stage 1 — Base and measurement,Stage 1 — Base and measurement,"epic,stage/1",,,,,,"E-11, step 1: A-06 as a script against a bare mkosi VM. The base holds, or E-01 falls.

**Closing condition of this stage:** The five constants from E-05 are measured and recorded in decisions/E-05.md.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-2,epic,Stage 2 — The contract,Stage 2 — The contract,"epic,stage/2",,,,,,"E-11, step 2: K-01, K-02, E-10. Schema, migrations, worker interface — the contract everything else is built against.

**Closing condition of this stage:** No measurement. That is the point. Instead: every negative probe fails in the right place.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-3,epic,"Stage 3 — Smallest system, without a captain","Stage 3 — Smallest system, without a captain","epic,stage/3",,,,,,"E-11, step 3: role=all, one adapter (CLI), one pipeline, one runner — without a captain, jobs by hand. A system whose mechanics first run together with a model has two unknown sources of error.

**Closing condition of this stage:** Jobs per hour on one node; zero orphaned subvolumes after a restart; double execution without double effect passed.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-4,epic,Stage 4 — Handles and knowledge,Stage 4 — Handles and knowledge,"epic,stage/4",,,,,,"E-11, step 4: the handles first — they need no model and are checkable before any agent question. The only layer that can be proven completely before anything is guessed.

**Closing condition of this stage:** success_rate per handle; response time of fact.query; share of jobs whose hull blows the context budget.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-5,epic,"Stage 5 — Intent, then captain","Stage 5 — Intent, then captain","epic,stage/5",,,,,,"E-11, step 5: the intent contract before the model that uses it.

**Closing condition of this stage:** no_clarification_rate, coverage_rate, share of unproven. If no_clarification_rate does not rise, Q-01 is the building site, not the model.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-6,epic,Stage 6 — Second node,Stage 6 — Second node,"epic,stage/6",,,,,,"E-11, step 6: role=work — intake, lease, expiry, rolling update. V-02, and only then V-03.

**Closing condition of this stage:** Time from expiry to resumption; job loss during an update (must be zero); restore time.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-7,epic,Stage 7 — Test bench,Stage 7 — Test bench,"epic,stage/7",,,,,,"E-11, step 7: the regression corpus before the first model change.

**Closing condition of this stage:** escape_rate as a baseline. Only then the first model change.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-8,epic,Stage 8 — Growth,Stage 8 — Growth,"epic,stage/8",,,,,,"By measurement, not by plan. A second cell at 80 % of the limit from E-04, campaigns for large jobs, further runners.

**Closing condition of this stage:** The cell boundary measured; coverage_rate rising.

Rule from E-11: no step starts before the previous one has delivered its number."
EPIC-9,epic,Acceptance of the platform,Acceptance of the platform,"epic,stage/9",,,,,,"Section D of the acceptance matrix: the three conditions under which the platform is hit.

**Closing condition of this stage:** All rows green, six baselines recorded, ten decisions filed.

Rule from E-11: no step starts before the previous one has delivered its number."
AP-0.1,work_package,AP-0.1 · Repository layout and decision store (E-01 through E-11 into decisions/),Stage 0 — Workbench,"effort/S,kind/decision,panel/E,panel/G,stage/0",,S,"E, G-01","SP-K01-9, SP-G01-5, SP-V05-1",AB-G01-5,"**Stage:** 0 · **Panels:** E, G-01 · **Effort:** S
**Blocked by:** —
**Specification:** SP-K01-9, SP-G01-5, SP-V05-1
**Acceptance:** AB-G01-5

### Goal
The eleven rulings from the architecture document become the holding G-01 calls “decisions”: few, versioned, in Git — not in the database, so that they survive losing the database and are readable by humans without the platform.

### Tasks
- [ ] Create the repository: image/, platform/, skills/, decisions/, acceptance/, contract/
- [ ] Carry E-01 through E-11 over into decisions/ verbatim, per file: ruling, rationale, “overturned by”
- [ ] Create ten placeholder files for the open points OP-1 through OP-10, each with its due date
- [ ] CODEOWNERS: nobody changes decisions/ alone (E-08, two-person rule)

### Done when
- decisions/ contains eleven filled-in and ten open files, each with an overturn condition.

### Boundary of this issue
No architecture work. What is not already in the design is not invented here."
AP-0.2,work_package,"AP-0.2 · Build environment: mkosi, package pinning, CI builds twice and compares",Stage 0 — Workbench,"effort/M,kind/image,panel/A,panel/E,stage/0",AP-0.1,M,"A-03, E-01","SP-E01-1, SP-E01-2, SP-A03-2, SP-A03-7","AB-A03-2, AB-E01-2, AB-A03-7","**Stage:** 0 · **Panels:** A-03, E-01 · **Effort:** M
**Blocked by:** AP-0.1
**Specification:** SP-E01-1, SP-E01-2, SP-A03-2, SP-A03-7
**Acceptance:** AB-A03-2, AB-E01-2, AB-A03-7

### Goal
Reproducibility is not an ideal here but the check from G-06, applied to the operating system. Without a bit-identical rebuild the question “does the same thing run on every node” cannot be answered.

### Tasks
- [ ] mkosi scaffolding with a pinned Fedora package snapshot
- [ ] Build without network (SP-A03-1)
- [ ] Generate the signing key; do not place the private part on a build machine
- [ ] CI leg: build every image twice, compare the artifacts, produce the SBOM

### Done when
- Two build runs of the same revision produce bit-identical artifacts — the first green row of the matrix.

### Boundary of this issue
No roles yet, no units yet. Only: does it build reproducibly."
