id	kind	state	work_package	evidence
AB-A01-1	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A02-1	P	green	AP-1.1	https://github.com/Cheety/warft/actions/runs/30181410890
AB-A02-5	S	red	AP-6.4	
AB-A03-2	S	green	AP-0.2	https://github.com/Cheety/warft/actions/runs/30176317960
AB-A03-3	P	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A03-4	P	red	AP-6.4	
AB-A03-6	S	red	AP-6.4	
AB-A03-7	S	green	AP-0.2	https://github.com/Cheety/warft/actions/runs/30176317960
AB-A04-1	P	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-A04-3	P	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-A04-4	P	red	AP-6.3	
AB-A05-1	P	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-A05-2	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A05-4	P	red	AP-6.1	
AB-A05-5	S	red	AP-3.8	
AB-A06-1	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-2	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-3	P	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-4	M	green	AP-1.3	https://github.com/Cheety/warft/actions/runs/30205099512
AB-A06-5	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-6	S	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-7	P	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-A06-8	P	red	AP-6.3	
AB-A06-9	S	red	AP-3.8	
AB-A06-10	S	red	AP-6.2	
AB-A06-11	P	red	AP-3.5	
AB-A06-12	S	red	AP-6.4	
AB-A06-13	M	green	AP-1.3	https://github.com/Cheety/warft/actions/runs/30205099512
AB-B01-1	S	red	AP-6.1	
AB-B01-2	P	green	AP-1.2	https://github.com/Cheety/warft/actions/runs/30200758783
AB-B01-3	S	green	AP-2.5	https://github.com/Cheety/warft/actions/runs/30210712005
AB-B01-4	P	red	AP-3.5	
AB-B01-5	S	red	AP-6.1	
AB-B02-1	P	red	AP-6.3	
AB-B02-2	S	red	AP-3.5	
AB-B02-3	P	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-B02-4	S	red	AP-3.5	
AB-B02-5	S	red	AP-3.8	
AB-B02-6	P	red	AP-6.3	
AB-B02-7	P	red	AP-6.3	
AB-B03-1	S	red	AP-3.8	
AB-B03-3	P	red	AP-3.8	
AB-B03-4	S	red	AP-3.8	
AB-B03-5	P	red	AP-7.4	
AB-B04-1	S	red	AP-7.5	
AB-B04-2	P	red	AP-7.5	
AB-B04-3	S	red	AP-7.5	
AB-B04-4	P	red	AP-7.5	
AB-B04-5	D	red	AP-7.5	
AB-E01-1	S	green	AP-1.1	https://github.com/Cheety/warft/actions/runs/30181410890
AB-E01-2	S	green	AP-0.2	https://github.com/Cheety/warft/actions/runs/30176317960
AB-E02-1	S	green	AP-3.1	https://github.com/Cheety/warft/actions/runs/30295919685
AB-E02-2	P	red	AP-3.7	
AB-E02-3	P	red	AP-5.7	
AB-E02-4	S	green	AP-3.3	https://github.com/Cheety/warft/actions/runs/30311990661
AB-E02-5	M	red	AP-3.7	
AB-E03-1	P	red	AP-8.1	
AB-E04-1	M	red	AP-8.1	
AB-E05-1	M	green	AP-1.3	https://github.com/Cheety/warft/actions/runs/30205099512
AB-E05-2	P	red	AP-3.7	
AB-E06-2	S	red	AP-5.3	
AB-E06-4	P	red	AP-5.4	
AB-E06-5	S	red	AP-5.3	
AB-E07-1	P	red	AP-7.4	
AB-E07-2	S	red	AP-7.4	
AB-E07-3	P	red	AP-7.4	
AB-E08-1	P	red	AP-7.5	
AB-E08-3	P	red	AP-3.6	
AB-E08-4	S	red	AP-7.5	
AB-E09-3	P	red	AP-4.1	
AB-E09-5	P	red	AP-4.1	
AB-E10-1	S	green	AP-2.1	https://github.com/Cheety/warft/actions/runs/30206672990
AB-E10-3	P	green	AP-2.1	https://github.com/Cheety/warft/actions/runs/30206672990
AB-E10-5	S	green	AP-2.1	https://github.com/Cheety/warft/actions/runs/30206672990
AB-E11-1	D	red	all	
AB-F01-1	P	red	AP-4.2	
AB-F01-2	P	red	AP-4.4	
AB-F01-4	S	red	AP-4.2	
AB-F02-2	P	red	AP-5.2	
AB-F02-3	P	red	AP-8.2	
AB-F03-1	S	red	AP-4.2, AP-5.2	
AB-F04-2	P	red	AP-5.6	
AB-F04-3	S	red	AP-5.6	
AB-F04-4	M	red	AP-4.2	
